 ,Pore Area,Major Pore Axis,Minor Pore Axis,File Name
176,2758,102.4746,34.2680,Bimodal_m10_S1_Pore Data2.csv
177,882,52.1579,21.5307,Bimodal_m10_S1_Pore Data2.csv
178,905,48.2365,23.8882,Bimodal_m10_S1_Pore Data2.csv
179,5359,129.9802,52.4948,Bimodal_m10_S1_Pore Data2.csv
180,305,22.4579,17.2918,Bimodal_m10_S1_Pore Data2.csv
181,1908,60.7073,40.0173,Bimodal_m10_S1_Pore Data2.csv
182,649,39.6948,20.8172,Bimodal_m10_S1_Pore Data2.csv
183,2182,77.1238,36.0227,Bimodal_m10_S1_Pore Data2.csv
184,1589,72.0544,28.0785,Bimodal_m10_S1_Pore Data2.csv
185,31920,277.5407,146.4355,Bimodal_m10_S1_Pore Data2.csv
186,864,49.1635,22.3759,Bimodal_m10_S1_Pore Data2.csv
187,198,31.2663,8.0630,Bimodal_m10_S1_Pore Data2.csv
188,503,29.2278,21.9120,Bimodal_m10_S1_Pore Data2.csv
189,18,5.3486,4.2849,Bimodal_m10_S1_Pore Data2.csv
190,217,21.1192,13.0826,Bimodal_m10_S1_Pore Data2.csv
191,1062,53.1022,25.4637,Bimodal_m10_S1_Pore Data2.csv
192,10553,237.7346,56.5189,Bimodal_m10_S1_Pore Data2.csv
193,10810,174.3728,78.9327,Bimodal_m10_S1_Pore Data2.csv
194,4505,160.2943,35.7838,Bimodal_m10_S1_Pore Data2.csv
195,544,35.3583,19.5892,Bimodal_m10_S1_Pore Data2.csv
196,4543,113.1718,51.1110,Bimodal_m10_S1_Pore Data2.csv
197,34969,213.0896,208.9446,Bimodal_m10_S1_Pore Data2.csv
198,827,33.9804,30.9875,Bimodal_m10_S1_Pore Data2.csv
199,1821,87.4879,26.5016,Bimodal_m10_S1_Pore Data2.csv
200,1159,47.2285,31.2456,Bimodal_m10_S1_Pore Data2.csv
201,18,5.3486,4.2849,Bimodal_m10_S1_Pore Data2.csv
202,1631,71.8774,28.8916,Bimodal_m10_S1_Pore Data2.csv
203,16613,188.0672,112.4722,Bimodal_m10_S1_Pore Data2.csv
204,33,7.3587,5.7098,Bimodal_m10_S1_Pore Data2.csv
205,1196,82.7581,18.4005,Bimodal_m10_S1_Pore Data2.csv
206,1346,54.1515,31.6479,Bimodal_m10_S1_Pore Data2.csv
207,13382,165.2559,103.1037,Bimodal_m10_S1_Pore Data2.csv
208,4680,104.3748,57.0900,Bimodal_m10_S1_Pore Data2.csv
209,1296,100.3906,16.4370,Bimodal_m10_S1_Pore Data2.csv
210,3964,94.6859,53.3038,Bimodal_m10_S1_Pore Data2.csv
211,4813,114.9555,53.3085,Bimodal_m10_S1_Pore Data2.csv
212,1861,56.6367,41.8368,Bimodal_m10_S1_Pore Data2.csv
213,3457,103.0297,42.7216,Bimodal_m10_S1_Pore Data2.csv
214,7268,177.2945,52.1951,Bimodal_m10_S1_Pore Data2.csv
215,7148,113.7906,79.9812,Bimodal_m10_S1_Pore Data2.csv
216,15983,214.4818,94.8807,Bimodal_m10_S1_Pore Data2.csv
217,537,30.9068,22.1223,Bimodal_m10_S1_Pore Data2.csv
218,718,39.5602,23.1087,Bimodal_m10_S1_Pore Data2.csv
219,54,9.4511,7.2748,Bimodal_m10_S1_Pore Data2.csv
220,1713,59.3249,36.7646,Bimodal_m10_S1_Pore Data2.csv
221,804,45.6782,22.4108,Bimodal_m10_S1_Pore Data2.csv
222,2622,117.6511,28.3757,Bimodal_m10_S1_Pore Data2.csv
223,6050,89.9710,85.6176,Bimodal_m10_S1_Pore Data2.csv
224,217,22.0168,12.5492,Bimodal_m10_S1_Pore Data2.csv
225,377,27.6447,17.3636,Bimodal_m10_S1_Pore Data2.csv
226,1619,57.6276,35.7706,Bimodal_m10_S1_Pore Data2.csv
227,3243,94.9208,43.5006,Bimodal_m10_S1_Pore Data2.csv
228,33,6.6634,6.3056,Bimodal_m10_S1_Pore Data2.csv
229,1265,58.8166,27.3842,Bimodal_m10_S1_Pore Data2.csv
230,1441,54.2313,33.8317,Bimodal_m10_S1_Pore Data2.csv
231,89,13.7972,8.2132,Bimodal_m10_S1_Pore Data2.csv
232,24,5.7746,5.2917,Bimodal_m10_S1_Pore Data2.csv
233,72,10.2732,8.9236,Bimodal_m10_S1_Pore Data2.csv
234,23,5.4332,5.3900,Bimodal_m10_S1_Pore Data2.csv
235,50,9.7133,6.5541,Bimodal_m10_S1_Pore Data2.csv
236,16,4.5135,4.5135,Bimodal_m10_S1_Pore Data2.csv
237,3294,67.6070,62.0358,Biomodal_m02_S1_Pore Data2.csv
238,2532,75.0212,42.9724,Biomodal_m02_S1_Pore Data2.csv
239,82,13.3018,7.8490,Biomodal_m02_S1_Pore Data2.csv
240,337,45.0397,9.5268,Biomodal_m02_S1_Pore Data2.csv
241,250,19.1880,16.5890,Biomodal_m02_S1_Pore Data2.csv
242,2519,88.5177,36.2333,Biomodal_m02_S1_Pore Data2.csv
243,59,11.1330,6.7476,Biomodal_m02_S1_Pore Data2.csv
244,3145,80.3624,49.8285,Biomodal_m02_S1_Pore Data2.csv
245,9070,197.3812,58.5075,Biomodal_m02_S1_Pore Data2.csv
246,1594,62.0056,32.7316,Biomodal_m02_S1_Pore Data2.csv
247,4780,165.8319,36.7003,Biomodal_m02_S1_Pore Data2.csv
248,10876,171.3727,80.8049,Biomodal_m02_S1_Pore Data2.csv
249,14840,146.4601,129.0104,Biomodal_m02_S1_Pore Data2.csv
250,5970,124.4325,61.0873,Biomodal_m02_S1_Pore Data2.csv
251,3688,117.5723,39.9389,Biomodal_m02_S1_Pore Data2.csv
252,430,28.7099,19.0698,Biomodal_m02_S1_Pore Data2.csv
253,2877,75.8708,48.2809,Biomodal_m02_S1_Pore Data2.csv
254,8932,130.6529,87.0442,Biomodal_m02_S1_Pore Data2.csv
255,462,41.5448,14.1591,Biomodal_m02_S1_Pore Data2.csv
256,2728,72.7268,47.7596,Biomodal_m02_S1_Pore Data2.csv
257,176,19.5397,11.4684,Biomodal_m02_S1_Pore Data2.csv
258,173,22.0834,9.9745,Biomodal_m02_S1_Pore Data2.csv
259,7870,118.7462,84.3850,Biomodal_m02_S1_Pore Data2.csv
260,1049,41.6041,32.1033,Biomodal_m02_S1_Pore Data2.csv
261,2027,123.7132,20.8616,Biomodal_m02_S1_Pore Data2.csv
262,1231,50.6512,30.9441,Biomodal_m02_S1_Pore Data2.csv
