 ,Char. Length,Eucl. Length,File Name
167,56.4975,54.6717,Bimodal_2_m02_S1_Intersections2.csv
168,55.4264,52.0096,Bimodal_2_m02_S1_Intersections2.csv
169,55.2548,52.3450,Bimodal_2_m02_S1_Intersections2.csv
170,55.2426,54.0833,Bimodal_2_m02_S1_Intersections2.csv
171,54.5269,50.1199,Bimodal_2_m02_S1_Intersections2.csv
172,53.8340,48.8774,Bimodal_2_m02_S1_Intersections2.csv
173,53.5269,38.8973,Bimodal_2_m02_S1_Intersections2.csv
174,52.8701,48.3322,Bimodal_2_m02_S1_Intersections2.csv
175,52.7990,49.0408,Bimodal_2_m02_S1_Intersections2.csv
176,52.6274,47.5395,Bimodal_2_m02_S1_Intersections2.csv
177,52.6274,46.0435,Bimodal_2_m02_S1_Intersections2.csv
178,52.4975,51.6624,Bimodal_2_m02_S1_Intersections2.csv
179,52.2132,48.3839,Bimodal_2_m02_S1_Intersections2.csv
180,52.0416,45.2769,Bimodal_2_m02_S1_Intersections2.csv
181,51.7279,48.5077,Bimodal_2_m02_S1_Intersections2.csv
182,50.9411,46.4004,Bimodal_2_m02_S1_Intersections2.csv
183,50.8701,45.6508,Bimodal_2_m02_S1_Intersections2.csv
184,50.7279,47.8539,Bimodal_2_m02_S1_Intersections2.csv
185,50.3848,46.8402,Bimodal_2_m02_S1_Intersections2.csv
186,50.3848,42.1900,Bimodal_2_m02_S1_Intersections2.csv
187,50.0416,46.2385,Bimodal_2_m02_S1_Intersections2.csv
188,50.0122,47.8017,Bimodal_2_m02_S1_Intersections2.csv
189,49.4558,45.6946,Bimodal_2_m02_S1_Intersections2.csv
190,48.1838,45.8039,Bimodal_2_m02_S1_Intersections2.csv
191,47.9411,44.4072,Bimodal_2_m02_S1_Intersections2.csv
192,47.5563,44.3847,Bimodal_2_m02_S1_Intersections2.csv
193,47.0122,44.2041,Bimodal_2_m02_S1_Intersections2.csv
194,46.7696,44.2041,Bimodal_2_m02_S1_Intersections2.csv
195,46.0416,42.5441,Bimodal_2_m02_S1_Intersections2.csv
196,45.7630,42.6380,Bimodal_2_m02_S1_Intersections2.csv
197,45.7279,40.1622,Bimodal_2_m02_S1_Intersections2.csv
198,45.4558,39.5980,Bimodal_2_m02_S1_Intersections2.csv
199,45.4264,44.5533,Bimodal_2_m02_S1_Intersections2.csv
200,45.3137,42.0476,Bimodal_2_m02_S1_Intersections2.csv
201,45.0416,41.6293,Bimodal_2_m02_S1_Intersections2.csv
202,45.0416,38.8973,Bimodal_2_m02_S1_Intersections2.csv
203,43.7696,41.7732,Bimodal_2_m02_S1_Intersections2.csv
204,43.7279,40.6079,Bimodal_2_m02_S1_Intersections2.csv
205,43.6274,39.5601,Bimodal_2_m02_S1_Intersections2.csv
206,43.5563,40.5216,Bimodal_2_m02_S1_Intersections2.csv
207,43.0711,41.1096,Bimodal_2_m02_S1_Intersections2.csv
208,42.5563,39.5601,Bimodal_2_m02_S1_Intersections2.csv
209,42.5563,39.0512,Bimodal_2_m02_S1_Intersections2.csv
210,42.0711,40.0125,Bimodal_2_m02_S1_Intersections2.csv
211,42.0416,38.0789,Bimodal_2_m02_S1_Intersections2.csv
212,41.9411,40.0000,Bimodal_2_m02_S1_Intersections2.csv
213,41.5563,38.6005,Bimodal_2_m02_S1_Intersections2.csv
214,41.4853,39.4588,Bimodal_2_m02_S1_Intersections2.csv
215,41.2132,36.0555,Bimodal_2_m02_S1_Intersections2.csv
216,39.8701,25.0000,Bimodal_2_m02_S1_Intersections2.csv
217,38.7990,33.6006,Bimodal_2_m02_S1_Intersections2.csv
218,38.7279,36.1386,Bimodal_2_m02_S1_Intersections2.csv
219,38.5563,33.1210,Bimodal_2_m02_S1_Intersections2.csv
220,37.6985,35.4683,Bimodal_2_m02_S1_Intersections2.csv
221,37.4142,37.0135,Bimodal_2_m02_S1_Intersections2.csv
222,36.5269,35.4683,Bimodal_2_m02_S1_Intersections2.csv
223,35.4853,33.2415,Bimodal_2_m02_S1_Intersections2.csv
224,34.8995,32.7567,Bimodal_2_m02_S1_Intersections2.csv
225,34.8284,34.0000,Bimodal_2_m02_S1_Intersections2.csv
226,32.2426,31.1448,Bimodal_2_m02_S1_Intersections2.csv
227,32.1421,29.7321,Bimodal_2_m02_S1_Intersections2.csv
228,31.7990,27.0185,Bimodal_2_m02_S1_Intersections2.csv
229,31.3848,17.0000,Bimodal_2_m02_S1_Intersections2.csv
230,31.3848,27.6586,Bimodal_2_m02_S1_Intersections2.csv
231,31.2426,30.1496,Bimodal_2_m02_S1_Intersections2.csv
232,31.2132,29.1548,Bimodal_2_m02_S1_Intersections2.csv
233,31.0711,28.0713,Bimodal_2_m02_S1_Intersections2.csv
234,30.7279,27.8927,Bimodal_2_m02_S1_Intersections2.csv
235,30.5563,16.6433,Bimodal_2_m02_S1_Intersections2.csv
236,30.3848,28.1780,Bimodal_2_m02_S1_Intersections2.csv
237,29.7990,27.4591,Bimodal_2_m02_S1_Intersections2.csv
238,29.5563,17.0880,Bimodal_2_m02_S1_Intersections2.csv
239,29.4558,28.4253,Bimodal_2_m02_S1_Intersections2.csv
