 ,Angle,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv Normalized,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv Normalized,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv Normalized,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv Normalized,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv Normalized,binary_0_OrientJ Hist.csv,binary_0_OrientJ Hist.csv Normalized,binary_1_OrientJ Hist.csv,binary_1_OrientJ Hist.csv Normalized,binary_2_OrientJ Hist.csv,binary_2_OrientJ Hist.csv Normalized,binary_3_OrientJ Hist.csv,binary_3_OrientJ Hist.csv Normalized,binary_4_OrientJ Hist.csv,binary_4_OrientJ Hist.csv Normalized,binary_5_OrientJ Hist.csv,binary_5_OrientJ Hist.csv Normalized,binary_6_OrientJ Hist.csv,binary_6_OrientJ Hist.csv Normalized,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
44,-47,3039.8940,0.0110,2516.6947,0.0163,3337.2623,0.0175,2403.5067,0.0063,403.1416,0.0015,2729.5096,0.0171,1219.8481,0.0080,10490.8391,0.0276,402.9539,0.0015,603.5204,0.0023,2090.3367,0.0074,1484.4977,0.0062,1821.1786,0.0073,1754.6733,0.0071,951.2925,0.0031,5012.3669,0.0122,40261.5161,0.1524
45,-46,3653.7600,0.0130,2946.6036,0.0191,2902.1812,0.0153,2127.3483,0.0056,800.0420,0.0030,3745.2770,0.0235,1032.8116,0.0068,12886.4465,0.0339,519.2249,0.0020,769.3766,0.0029,2940.8577,0.0104,1476.7888,0.0062,2221.8307,0.0089,3358.4089,0.0137,980.4420,0.0031,6276.0437,0.0152,48637.4435,0.1826
46,-45,4152.5970,0.0140,2367.9100,0.0153,2939.5301,0.0155,2359.8595,0.0062,913.8015,0.0034,1711.8021,0.0107,841.6293,0.0056,17097.9289,0.0449,584.2707,0.0022,1215.1420,0.0046,4243.6787,0.0149,1643.8773,0.0069,3290.5256,0.0132,3666.9650,0.0149,1052.7716,0.0034,9673.8357,0.0235,57756.1250,0.1992
47,-44,2241.8220,0.0080,2109.2980,0.0137,2826.5318,0.0149,4660.3253,0.0122,2115.4803,0.0079,1879.4281,0.0118,656.0154,0.0043,8864.2658,0.0233,361.8250,0.0014,890.7075,0.0034,3025.9334,0.0107,2273.6339,0.0095,2119.4650,0.0085,5451.1476,0.0222,935.7488,0.0030,4665.9250,0.0113,45077.5529,0.1661
48,-43,1880.7390,0.0070,1833.5363,0.0119,2796.3206,0.0147,6596.7003,0.0172,1823.9845,0.0068,2117.1625,0.0133,494.9760,0.0033,4259.3098,0.0112,386.5390,0.0015,755.9951,0.0029,2327.0579,0.0082,4362.5402,0.0183,1829.7961,0.0073,6681.8034,0.0272,904.7219,0.0029,2619.7229,0.0064,41670.9055,0.1601
49,-42,1704.4610,0.0060,1408.6661,0.0091,3246.6859,0.0171,3433.1364,0.0090,1506.4899,0.0056,1545.9386,0.0097,382.4954,0.0025,2508.5258,0.0066,329.4873,0.0013,740.8589,0.0028,1823.1956,0.0064,3409.3212,0.0143,1813.6682,0.0073,6872.9899,0.0280,916.0596,0.0029,2225.5718,0.0054,33867.5516,0.1340
50,-41,1439.4180,0.0050,1066.4816,0.0069,2334.5042,0.0123,1955.9164,0.0051,1370.3507,0.0051,1172.2788,0.0074,565.3520,0.0037,1914.3737,0.0050,370.9640,0.0014,624.2672,0.0024,1425.9124,0.0050,3595.0323,0.0151,1592.8149,0.0064,6503.3464,0.0265,904.6155,0.0029,2029.4858,0.0049,28865.1139,0.1151
51,-40,1339.2790,0.0050,791.2117,0.0051,1991.7393,0.0105,1789.6783,0.0047,1376.1681,0.0051,1132.2424,0.0071,394.6127,0.0026,1558.5815,0.0041,409.3748,0.0016,605.3313,0.0023,1367.6514,0.0048,3320.4235,0.0139,1529.6599,0.0061,6071.4582,0.0247,869.9430,0.0028,1951.0649,0.0047,26498.4200,0.1051
52,-39,1594.4590,0.0060,687.2163,0.0045,1752.0967,0.0092,1909.1056,0.0050,1441.2943,0.0054,1365.9967,0.0086,269.2527,0.0018,1502.4108,0.0039,443.7976,0.0017,628.4523,0.0024,1403.9921,0.0049,2890.4574,0.0121,1087.0998,0.0044,4146.5349,0.0169,967.5259,0.0031,1418.9327,0.0034,23508.6248,0.0933
53,-38,1968.5880,0.0070,700.6243,0.0045,1843.7230,0.0097,1680.5853,0.0044,1484.3390,0.0055,2445.5248,0.0153,225.5599,0.0015,1398.4443,0.0037,470.7232,0.0018,591.1606,0.0022,1466.0862,0.0052,1634.1234,0.0068,922.3077,0.0037,4041.8024,0.0165,830.2894,0.0027,910.1750,0.0022,22614.0565,0.0927
