 ,Char. Length,Eucl. Length,File Name
122,45.1421,41.0488,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
123,44.7990,41.4367,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
124,44.7696,42.8019,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
125,44.6274,39.1152,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
126,44.2843,40.2492,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
127,43.9706,40.8044,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
128,42.7990,37.8550,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
129,42.5269,40.2244,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
130,41.8701,35.1141,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
131,40.4558,36.0694,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
132,40.0416,35.3836,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
133,39.7696,37.4833,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
134,38.4558,34.6554,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
135,38.2132,34.8855,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
136,37.6274,34.8855,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
137,35.9706,33.2415,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
138,35.5563,32.2800,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
139,34.3848,31.0161,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
140,32.9706,25.1794,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
141,32.6274,30.5287,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
142,32.3848,29.9666,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
143,31.9706,29.5466,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
144,31.8284,31.0644,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
145,31.7279,28.7924,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
146,30.7990,28.6531,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
147,30.3848,28.1780,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
148,29.8284,29.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
149,28.8284,28.0713,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
150,27.8995,25.9615,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
151,25.3848,23.3452,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
152,24.9706,21.2603,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
153,24.4853,22.1359,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
154,23.8995,22.1359,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
155,23.7990,22.8035,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
156,21.8995,19.6469,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
157,21.0711,17.4929,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
158,20.1421,18.4391,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
159,19.8995,18.3848,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
160,19.2426,18.0278,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
161,19.0711,17.7200,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
162,18.8284,18.1108,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
163,17.4142,17.0294,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
164,17.0000,17.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
165,16.4853,14.4222,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
