 ,Angle,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv Normalized,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
79,-12,233.4567,0.0009,2525.6365,0.0067,1776.8527,0.0048,4535.9459,0.0124
80,-11,469.2049,0.0017,2757.1787,0.0073,2328.4917,0.0063,5554.8753,0.0153
81,-10,667.8266,0.0024,3387.8235,0.0090,2170.4890,0.0059,6226.1391,0.0173
82,-9,647.1951,0.0024,1702.8137,0.0045,2312.2441,0.0063,4662.2529,0.0132
83,-8,626.0860,0.0023,1675.6772,0.0044,2926.8349,0.0080,5228.5981,0.0147
84,-7,731.8749,0.0027,1890.0261,0.0050,2570.0844,0.0070,5191.9854,0.0147
85,-6,853.8445,0.0031,889.8116,0.0024,1891.2812,0.0051,3634.9373,0.0106
86,-5,1206.6149,0.0044,772.2755,0.0021,2118.6154,0.0058,4097.5058,0.0123
87,-4,953.0969,0.0035,973.2368,0.0026,2450.7038,0.0067,4377.0375,0.0128
88,-3,1115.1641,0.0041,1693.3176,0.0045,2841.9821,0.0077,5650.4638,0.0163
89,-2,1889.6502,0.0069,1592.4363,0.0042,4628.4804,0.0126,8110.5669,0.0237
90,-1,2691.1302,0.0099,2353.9500,0.0063,9697.1840,0.0264,14742.2642,0.0426
91,0,3813.8819,0.0140,1978.0491,0.0053,12366.3530,0.0336,18158.2840,0.0529
92,1,1779.2144,0.0065,875.8757,0.0023,4650.6328,0.0127,7305.7229,0.0215
93,2,1135.6921,0.0042,558.6227,0.0015,3226.7136,0.0088,4921.0284,0.0145
94,3,1771.4505,0.0065,533.9637,0.0014,3091.8129,0.0084,5397.2271,0.0163
95,4,3382.7188,0.0124,402.2494,0.0011,2506.5683,0.0068,6291.5365,0.0203
96,5,1210.7460,0.0044,455.6463,0.0012,2286.1528,0.0062,3952.5451,0.0118
